t=2026-03-04T07:35:06+0100 lvl=info msg="no configuration paths supplied"
t=2026-03-04T07:35:06+0100 lvl=info msg="using configuration at default config path" path=C:\\Users\\Imam\\AppData\\Local/ngrok/ngrok.yml
t=2026-03-04T07:35:06+0100 lvl=info msg="open config file" path=C:\\Users\\Imam\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-03-04T07:35:06+0100 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-04T07:35:06+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-04T07:35:06+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-04T07:35:06+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-04T07:39:52+0100 lvl=info msg="join connections" obj=join id=13befd9ce429 l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:52+0100 lvl=info msg="join connections" obj=join id=922043993dcc l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:52+0100 lvl=info msg="join connections" obj=join id=e97952fdc56f l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:52+0100 lvl=info msg="join connections" obj=join id=97602621166a l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:52+0100 lvl=info msg="join connections" obj=join id=b59b30c9971e l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:52+0100 lvl=info msg="join connections" obj=join id=7518e0905742 l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:52+0100 lvl=info msg="join connections" obj=join id=3dd237c0ab39 l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:52+0100 lvl=info msg="join connections" obj=join id=22f2f3becb6d l=[::1]:3000 r=213.49.172.115:58995
t=2026-03-04T07:41:54+0100 lvl=info msg="join connections" obj=join id=108bf02c5764 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:41:54+0100 lvl=info msg="join connections" obj=join id=39b9cda4f395 l=[::1]:3000 r=213.49.172.115:54255
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=7ff494cd9625 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=695d6103db40 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=b8d0f566e3ae l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=9cdb2bdf70f1 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=9933c0a7c5d8 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=e2ac9475a019 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=777b0d0b0b42 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=e3ca06eb6b9a l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=6be5c08db75e l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=9fc865eacc44 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=6c047c499d1e l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=9cd2d1ce78d6 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=78feeb821543 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=6507f5575cd7 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=305a7cc5eda8 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=ad7997556e33 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=26321ea0fcd6 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=48f5bdd0b9f6 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=de09dddc6b2b l=[::1]:3000 r=213.49.172.115:54255
t=2026-03-04T07:42:00+0100 lvl=info msg="join connections" obj=join id=efdbcdf81ef6 l=[::1]:3000 r=213.49.172.115:55827
t=2026-03-04T07:42:06+0100 lvl=info msg="join connections" obj=join id=726712857494 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:06+0100 lvl=info msg="join connections" obj=join id=63cbf7dc5fbd l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:06+0100 lvl=info msg="join connections" obj=join id=f169981f5652 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:06+0100 lvl=info msg="join connections" obj=join id=c84ed741cf47 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:06+0100 lvl=info msg="join connections" obj=join id=6a30d6c50c14 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:06+0100 lvl=info msg="join connections" obj=join id=91e388739eb9 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:06+0100 lvl=info msg="join connections" obj=join id=fa71b2641682 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:06+0100 lvl=info msg="join connections" obj=join id=b18f0937fd65 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:06+0100 lvl=info msg="join connections" obj=join id=c65f4287699a l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:06+0100 lvl=info msg="join connections" obj=join id=e2fdd0321d2e l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:06+0100 lvl=info msg="join connections" obj=join id=fcf90db37926 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:06+0100 lvl=info msg="join connections" obj=join id=36699fe1df0a l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:17+0100 lvl=info msg="join connections" obj=join id=e2ba9e51fe42 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=2f42dae1a67b l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=7097ab4bb2db l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=68960af64f74 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=937072507029 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=8b11f86da74b l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=50fcdbb9cfdd l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=50f8beb3cad6 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=69609089360e l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=f46c4a97cee9 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=3f6f068081df l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=4140038857d9 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=17ba5dbf1625 l=[::1]:3000 r=213.49.172.115:54255
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=24bba583b15e l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=824715c160f9 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=153f1d9b8283 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=058a76f676b6 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=a5bcb575d559 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=b26b911959fd l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:18+0100 lvl=info msg="join connections" obj=join id=4e81a3f316a5 l=[::1]:3000 r=213.49.172.115:59386
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=c2e22fb658b5 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=fa31ec6abb24 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=b4a851e3aa67 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=6932e2046970 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=1b7fc3b25c8f l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=98f86aeb80b8 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=aae41b7d42a7 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=ce5bba73aaba l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=eed169f44a95 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=414b74133a88 l=[::1]:3000 r=213.49.172.115:64068
